label,rx1,ry1,rz1,rx2,ry2,rz2,rx3,ry3,rz3,rx4,ry4,rz4,rx5,ry5,rz5,rx6,ry6,rz6,rx7,ry7,rz7,rx8,ry8,rz8,rx9,ry9,rz9,rx10,ry10,rz10,rx11,ry11,rz11,rx12,ry12,rz12,rx13,ry13,rz13,rx14,ry14,rz14,rx15,ry15,rz15,rx16,ry16,rz16,rx17,ry17,rz17,rx18,ry18,rz18,rx19,ry19,rz19,rx20,ry20,rz20
A,0.22594022750854492,0.037916362285614014,0.02512053432601391,0.384064257144928,-0.021193742752075195,0.03570294785040318,0.47156596183776855,-0.10631603002548218,0.04662643777864872,0.44867318868637085,-0.1760210394859314,0.05878622117179333,0.3281821608543396,-0.18383529782295227,-0.012849099610868109,0.4037806987762451,-0.22226932644844055,0.008576676572737085,0.3741041421890259,-0.1611841320991516,0.021748697708424913,0.3423915505409241,-0.11849242448806763,0.02704808520811497,0.21866589784622192,-0.24861586093902588,-0.01924115014535488,0.3007383942604065,-0.2433289885520935,0.03157902168768345,0.2884135842323303,-0.18641531467437744,0.05152305992978512,0.26143699884414673,-0.14932405948638916,0.047232594664272654,0.11797261238098145,-0.27179384231567383,-0.017276430179300917,0.19808262586593628,-0.24990007281303406,0.041139662589010584,0.19681715965270996,-0.20366352796554565,0.059165820802626,0.17002958059310913,-0.1719515025615692,0.04869432779687344,0.03310614824295044,-0.2763548493385315,-0.013607889090600622,0.10435500741004944,-0.24878251552581787,0.03813898968237339,0.10154128074645996,-0.21130099892616272,0.06699715587037502,0.0803716778755188,-0.18573641777038574,0.07542954417603909
A,-0.1988641619682312,0.008958756923675537,-0.006459804504970634,-0.35494616627693176,-0.061485111713409424,-0.009943242437998379,-0.4254482388496399,-0.16128239035606384,-0.00978476486341151,-0.38431107997894287,-0.22828325629234314,-0.004628405228118027,-0.29180604219436646,-0.20162174105644226,-0.028136139057437504,-0.3614262044429779,-0.24141597747802734,-0.020141861654678905,-0.33220985531806946,-0.1763169765472412,-0.010053608819703186,-0.30731624364852905,-0.1345701813697815,-0.006893151227245653,-0.18915656208992004,-0.25230294466018677,-0.02946031770841273,-0.25690653920173645,-0.25949952006340027,-0.010313945144275749,-0.24330288171768188,-0.20378386974334717,0.004550744991888678,-0.21985489130020142,-0.16781753301620483,0.0054891041742166635,-0.08935964107513428,-0.26611828804016113,-0.02670985951260718,-0.14871540665626526,-0.25100842118263245,-0.009606371886889065,-0.14344358444213867,-0.20530858635902405,0.010647559285303032,-0.11929666996002197,-0.17285504937171936,0.01475777265443412,0.005939066410064697,-0.2604784369468689,-0.023348902605334843,-0.041361212730407715,-0.24710491299629211,-0.003210475688661063,-0.03829997777938843,-0.20269957184791565,0.02503724277778474,-0.022793054580688477,-0.17618191242218018,0.04092821546657888
A,-0.20004689693450928,0.00976020097732544,-0.007950400252639156,-0.34832654893398285,-0.06548923254013062,-0.014393974345921379,-0.41219362616539,-0.16466212272644043,-0.014837864105402332,-0.36735886335372925,-0.2194088101387024,-0.010285377752779823,-0.2848176658153534,-0.1928219497203827,-0.03902272532582174,-0.3422080874443054,-0.2411075234413147,-0.021569513034819465,-0.3161752223968506,-0.19374406337738037,-0.005229168821870189,-0.3003236651420593,-0.14558103680610657,0.0006334862962376064,-0.18283098936080933,-0.2464260756969452,-0.036976605904101234,-0.24229273200035095,-0.25542059540748596,-0.0075327090628434235,-0.23055046796798706,-0.21811431646347046,0.008658647286893029,-0.21468138694763184,-0.17985671758651733,0.00725304822549333,-0.08326900005340576,-0.2609651982784271,-0.028601231303809982,-0.14136278629302979,-0.2548287510871887,-0.002533456095306974,-0.13947153091430664,-0.22135910391807556,0.018517963337899346,-0.11968356370925903,-0.18369781970977783,0.02056229089498629,0.012490510940551758,-0.25681251287460327,-0.019209940236805778,-0.039904892444610596,-0.25664669275283813,0.004712436563522715,-0.040913522243499756,-0.22166743874549866,0.03437276159525027,-0.02872377634048462,-0.19245335459709167,0.05049700637459864
A,0.17451775074005127,-0.0539364218711853,-0.05535664531066686,0.2906481623649597,-0.15793174505233765,-0.07550835358574659,0.2873117923736572,-0.27945899963378906,-0.09241872029974729,0.2473340630531311,-0.36192888021469116,-0.09706839668228895,0.16689759492874146,-0.2849233150482178,-0.048716766113784615,0.16444391012191772,-0.38097211718559265,-0.11930211382582456,0.15931588411331177,-0.2559646964073181,-0.14668868231251508,0.15668219327926636,-0.20850259065628052,-0.15763655054047376,0.05078154802322388,-0.2820517420768738,-0.047922802443054024,0.05341804027557373,-0.36855795979499817,-0.13055395829155714,0.06529510021209717,-0.22630876302719116,-0.14468577253296644,0.06590688228607178,-0.20109879970550537,-0.14314701902344495,-0.05201902985572815,-0.2680155038833618,-0.05631384747698576,-0.04181697964668274,-0.3536456525325775,-0.14042485999539167,-0.020283222198486328,-0.2200247049331665,-0.11203892278149397,-0.01908937096595764,-0.1965160369873047,-0.07833219813778669,-0.15871647000312805,-0.24486839771270752,-0.06840067851021558,-0.14166632294654846,-0.3162180185317993,-0.11475091176703245,-0.1050499677658081,-0.2241153120994568,-0.08583202707245619,-0.09702691435813904,-0.19196385145187378,-0.05715087177827627
A,-0.16403287649154663,-0.07582062482833862,-0.054944553335872115,-0.27036014199256897,-0.19810163974761963,-0.0816695139908461,-0.27148620784282684,-0.3231491446495056,-0.10913110237356705,-0.22734832763671875,-0.4132141172885895,-0.12273540805813354,-0.1437833309173584,-0.32505369186401367,-0.02450616556939167,-0.14543280005455017,-0.4149811267852783,-0.10540795784231705,-0.1418609321117401,-0.29625391960144043,-0.13874578188892883,-0.13591620326042175,-0.2465648055076599,-0.15063084374901337,-0.02592715620994568,-0.3161427974700928,-0.03399315189358276,-0.038590967655181885,-0.4008088707923889,-0.1208325223230986,-0.049348801374435425,-0.26499295234680176,-0.13379656981464905,-0.04444164037704468,-0.23596012592315674,-0.12382673930164856,0.08435988426208496,-0.2943233251571655,-0.05739788051482719,0.07128679752349854,-0.3725658059120178,-0.1445846528911261,0.04296296834945679,-0.24090033769607544,-0.11246729355093521,0.03969627618789673,-0.22297900915145874,-0.070070174446073,0.19286322593688965,-0.2572847604751587,-0.08578362028833908,0.1742650866508484,-0.3287343978881836,-0.1264681340360312,0.13846635818481445,-0.23644953966140747,-0.09009911577936691,0.13377457857131958,-0.21075445413589478,-0.05285926248666328
A,-0.16380351781845093,-0.08080703020095825,-0.0481409306879641,-0.2632972151041031,-0.20184928178787231,-0.07166762903887047,-0.2566158175468445,-0.3270449638366699,-0.0981749843116404,-0.19996172189712524,-0.40942537784576416,-0.11268975094515099,-0.13117575645446777,-0.32238560914993286,-0.014229603787839551,-0.1283857822418213,-0.4082016050815582,-0.08935307965236916,-0.12800052762031555,-0.28978389501571655,-0.12214863554197564,-0.12399271130561829,-0.2440977692604065,-0.1350070412512423,-0.016517698764801025,-0.3119805157184601,-0.025499422779262204,-0.024539679288864136,-0.3919520676136017,-0.10706761733251824,-0.03843608498573303,-0.25974440574645996,-0.12084537998396172,-0.03279304504394531,-0.23085862398147583,-0.11327218518215432,0.09019476175308228,-0.28985992074012756,-0.04953692362266793,0.08091890811920166,-0.3692954182624817,-0.1306989963408114,0.05207085609436035,-0.24081236124038696,-0.09919606403070702,0.05047750473022461,-0.2201443910598755,-0.058872769331514974,0.19730186462402344,-0.2525119185447693,-0.07818126932340874,0.1797800064086914,-0.3266361951828003,-0.11382054046350731,0.14385873079299927,-0.23517674207687378,-0.07575117305475487,0.1390824317932129,-0.20704132318496704,-0.03846513361293091
A,-0.14608794450759888,-0.056023597717285156,-0.09166418448080549,-0.2509729266166687,-0.16491830348968506,-0.14534087166180143,-0.2871174216270447,-0.25480136275291443,-0.1888459442554904,-0.2551257908344269,-0.32953712344169617,-0.21758804902424345,-0.09209764003753662,-0.31340208649635315,-0.11661866739382276,-0.19957402348518372,-0.2970878779888153,-0.18891100272526273,-0.19186171889305115,-0.18072175979614258,-0.2084597764908267,-0.1493932008743286,-0.16720741987228394,-0.22001422628750333,0.01941448450088501,-0.312402606010437,-0.10900542572130689,-0.11098188161849976,-0.25149816274642944,-0.18924510166039,-0.1084257960319519,-0.13305306434631348,-0.19052837476124296,-0.062264084815979004,-0.13404476642608643,-0.18352706417431364,0.11091703176498413,-0.27101826667785645,-0.1119595436750842,-0.0137861967086792,-0.1950729489326477,-0.19471019193520078,-0.023542702198028564,-0.09340506792068481,-0.16575446411957273,0.019630908966064453,-0.1021806001663208,-0.13675084397186765,0.18986767530441284,-0.21655964851379395,-0.1243324919043971,0.09461730718612671,-0.14741730690002441,-0.1764465986191226,0.06243157386779785,-0.08128523826599121,-0.16426242575039396,0.08323657512664795,-0.08988773822784424,-0.1484464673696948
A,-0.1388779878616333,-0.06388658285140991,-0.09895709525142138,-0.2591365575790405,-0.17265427112579346,-0.1593118495801491,-0.3137896955013275,-0.26162946224212646,-0.2084553129533333,-0.29096388816833496,-0.3364306688308716,-0.24201995502505724,-0.10390651226043701,-0.3351598381996155,-0.1236513293841881,-0.21879148483276367,-0.3131168484687805,-0.2020379192689461,-0.2047235369682312,-0.19367444515228271,-0.2277257032254738,-0.15640968084335327,-0.1601518988609314,-0.24136650930438464,0.011895596981048584,-0.3310779929161072,-0.1125361583689255,-0.12946754693984985,-0.2631704807281494,-0.19474190841708605,-0.12337750196456909,-0.1371241807937622,-0.19987106691394274,-0.07459688186645508,-0.12267237901687622,-0.19558638702426379,0.10589110851287842,-0.2895999550819397,-0.11310082297120516,-0.02935117483139038,-0.2066197395324707,-0.19705708693061297,-0.039048612117767334,-0.09960973262786865,-0.17408700655494158,0.0029532909393310547,-0.09400731325149536,-0.14894159506354754,0.18663924932479858,-0.22933357954025269,-0.12391820918116991,0.08411496877670288,-0.1577516794204712,-0.17718294631038134,0.04717409610748291,-0.0882614254951477,-0.16826385627780382,0.0617525577545166,-0.087837815284729,-0.1540383435348076
A,0.14348775148391724,-0.050543248653411865,-0.06535772154268216,0.26370251178741455,-0.13900113105773926,-0.10638378480609845,0.31563711166381836,-0.2116396427154541,-0.14574972460206936,0.3154942989349365,-0.27997082471847534,-0.17619783351358365,0.11568951606750488,-0.30470383167266846,-0.07710564056571911,0.22249025106430054,-0.2690857946872711,-0.156567371582355,0.21306461095809937,-0.167982816696167,-0.19925848314699124,0.17649203538894653,-0.15815532207489014,-0.2263131208175082,0.008287012577056885,-0.30882808566093445,-0.0821667305582423,0.12566900253295898,-0.23119127750396729,-0.15484888026651333,0.1220778226852417,-0.11451369524002075,-0.17098251650270413,0.08927300572395325,-0.11737930774688721,-0.17834382424291562,-0.08131840825080872,-0.27358511090278625,-0.09679382959541272,0.02549809217453003,-0.18492519855499268,-0.16482394108709286,0.0284232497215271,-0.08440905809402466,-0.15028909513887356,-0.004272907972335815,-0.09284818172454834,-0.13609497914251278,-0.1623895764350891,-0.2197483777999878,-0.11946777919467877,-0.07547152042388916,-0.13538038730621338,-0.1601345307582278,-0.05413779616355896,-0.06591355800628662,-0.15081392893728207,-0.07199299335479736,-0.07186472415924072,-0.14078088769849728
A,-0.11749014258384705,-0.051656484603881836,-0.045157125137166076,-0.1950148344039917,-0.13886696100234985,-0.06934511094482332,-0.1920730471611023,-0.22987014055252075,-0.09163613050372987,-0.1511039435863495,-0.29238006472587585,-0.10285063265951067,-0.0892145037651062,-0.21944832801818848,-0.034749710849837356,-0.09111985564231873,-0.2748781144618988,-0.0863788071194449,-0.09461718797683716,-0.18900847434997559,-0.10195112406404405,-0.0871918797492981,-0.1676194667816162,-0.10852126955182939,-0.007966458797454834,-0.20896559953689575,-0.03809859409125238,-0.0201718807220459,-0.260254830121994,-0.0970725434938231,-0.032426416873931885,-0.16531211137771606,-0.09880359648855119,-0.02144300937652588,-0.1572098731994629,-0.09032152771146684,0.06666898727416992,-0.1902608871459961,-0.05052126004488855,0.05548679828643799,-0.24399268627166748,-0.10990631013305574,0.03252363204956055,-0.15384256839752197,-0.07961863457353502,0.04137110710144043,-0.14974761009216309,-0.04841053663881212,0.13870948553085327,-0.16227120161056519,-0.06733188956172853,0.12414276599884033,-0.20649206638336182,-0.09572870462329774,0.09198850393295288,-0.14398092031478882,-0.06937271534593492,0.09076738357543945,-0.13061708211898804,-0.04522244065196901
